Fecha,Ultimo
2022-12-01,80.47
2022-11-01,80.56
2022-10-01,86.53
2022-09-01,79.49
2022-08-01,89.55
2022-07-01,98.62
2022-06-01,105.76
2022-05-01,114.67
2022-04-01,104.69
2022-03-01,100.28
2022-02-01,95.72
2022-01-01,88.15
2021-12-01,75.21
2021-11-01,66.18
2021-10-01,83.57
2021-09-01,75.03
2021-08-01,68.50
2021-07-01,73.95
2021-06-01,73.47
2021-05-01,66.32
2021-04-01,63.58
2021-03-01,59.16
2021-02-01,61.50
2021-01-01,52.20
2020-12-01,48.52
2020-11-01,45.34
2020-10-01,35.79
2020-09-01,40.22
2020-08-01,42.61
2020-07-01,40.27
2020-06-01,39.27
2020-05-01,35.49
2020-04-01,18.84
2020-03-01,20.48
2020-02-01,44.76
2020-01-01,51.56
2019-12-01,61.06
2019-11-01,55.17
2019-10-01,54.18
2019-09-01,54.07
2019-08-01,55.10
2019-07-01,58.58
2019-06-01,58.47
2019-05-01,53.50
2019-04-01,63.91
2019-03-01,60.14
2019-02-01,57.22
2019-01-01,53.79
2018-12-01,45.41
2018-11-01,50.93
2018-10-01,65.31
2018-09-01,73.25
2018-08-01,69.80
2018-07-01,68.76
2018-06-01,74.15
2018-05-01,67.04
2018-04-01,68.57
2018-03-01,64.94
2018-02-01,61.64
2018-01-01,64.73
2017-12-01,60.42
2017-11-01,57.40
2017-10-01,54.38
2017-09-01,51.67
2017-08-01,47.23
2017-07-01,50.17
2017-06-01,46.04
2017-05-01,48.32
2017-04-01,49.33
2017-03-01,50.60
2017-02-01,54.01
2017-01-01,52.81
2016-12-01,53.72
2016-11-01,49.44
2016-10-01,46.86
2016-09-01,48.24
2016-08-01,44.70
2016-07-01,41.60
2016-06-01,48.33
2016-05-01,49.10
2016-04-01,45.92
2016-03-01,38.34
2016-02-01,33.75
2016-01-01,33.62
2015-12-01,37.04
2015-11-01,41.65
2015-10-01,46.59
2015-09-01,45.09
2015-08-01,49.20
2015-07-01,47.12
2015-06-01,59.47
2015-05-01,60.30
2015-04-01,59.63
2015-03-01,47.60
2015-02-01,49.76
2015-01-01,48.24
2014-12-01,53.27
2014-11-01,66.15
2014-10-01,80.54
2014-09-01,91.16
2014-08-01,95.96
2014-07-01,98.17
2014-06-01,105.37
2014-05-01,102.71
2014-04-01,99.74
2014-03-01,101.58
2014-02-01,102.59
2014-01-01,97.49
2013-12-01,98.42
2013-11-01,92.72
2013-10-01,96.38
2013-09-01,102.33
2013-08-01,107.65
2013-07-01,105.03
2013-06-01,96.56
2013-05-01,91.97
2013-04-01,93.46
2013-03-01,97.23
2013-02-01,92.05
2013-01-01,97.49
